"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
"Total, all countries or areas",5735.12,6519.64,6929.73,7265.79,7349.47,7432.66,136162,57.1
Africa,720.42,920.24,1044.11,1156.65,1186.18,1216.13,30311,41
Northern America,295.7,328.52,344.13,355.16,357.84,360.53,21776,19.3
Latin Amer. and the Caribb.,487.33,563.83,599.82,627.64,634.39,641.03,20546,31.8
Asia,3474.85,3944.67,4169.86,4349.56,4393.3,4436.22,31915,143
Europe,727.78,729.01,735.39,738.02,738.44,738.85,23049,33.4
Oceania,29.05,33.37,36.41,38.76,39.33,39.9,8564,4.7
Afghanistan,16.77,24.4,27.96,31.63,32.53,33.37,652.9,51.1
Albania,3.11,3.08,2.9,2.89,2.9,2.9,28.7,106
Algeria,28.9,33.27,36.04,38.93,39.67,40.38,2381.7,17
American Samoa,0.05,0.06,0.06,0.06,0.06,0.06,0.2,278
Andorra,0.06,0.08,0.08,0.07,0.07,0.07,0.5,147.2
Angola,13.04,17.91,21.22,24.23,25.02,25.83,1246.7,20.7
Anguilla,0.01,0.01,0.01,0.01,0.01,0.01,0.1,164
Antigua and Barbuda,0.07,0.08,0.09,0.09,0.09,0.09,0.4,210.8
Argentina,34.99,39.15,41.22,42.98,43.42,43.85,2780.4,16
Armenia,3.22,3.01,2.96,3.01,3.02,3.03,29.7,106.3
Aruba,0.08,0.1,0.1,0.1,0.1,0.1,0.2,579.2
Australia 1,18.12,20.27,22.16,23.62,23.97,24.31,7692.1,3.2
Austria,7.97,8.23,8.39,8.52,8.54,8.57,83.9,104
Azerbaijan,7.772,8.562,9.102,9.632,9.752,9.872,86.6,119.42
Bahamas,0.28,0.33,0.36,0.38,0.39,0.39,13.9,39.2
Bahrain,0.56,0.87,1.26,1.36,1.38,1.4,0.8,1 837.9
Bangladesh,118.43,142.93,151.62,159.08,161,162.91,147.6,1 251.5
Barbados,0.27,0.27,0.28,0.28,0.28,0.29,0.4,662.8
Belarus,10.16,9.64,9.49,9.5,9.5,9.48,207.6,46.7
Belgium,10.16,10.56,10.93,11.23,11.3,11.37,30.5,375.6
Belize,0.21,0.28,0.32,0.35,0.36,0.37,23,16.1
Benin,5.99,8.18,9.51,10.6,10.88,11.17,114.8,99
Bermuda,0.06,0.07,0.06,0.06,0.06,0.06,0.1,1 233.2
Bhutan,0.51,0.65,0.72,0.77,0.77,0.78,38.4,20.6
Bolivia (Plurinational State of),7.57,9.13,9.92,10.56,10.72,10.89,1098.63,10.1
"Bonaire, St Eust. and Saba",0.02,0.01,0.02,0.02,0.02,0.03,...,77.2
Bosnia and Herzegovina,3.88,3.83,3.84,3.82,3.81,3.8,51.2,74.6
Botswana,1.58,1.86,2.05,2.22,2.26,2.3,582,4.1
Brazil,162.76,188.48,198.61,206.08,207.85,209.57,8514.9,25.1
British Virgin Islands,0.02,0.02,0.03,0.03,0.03,0.03,0.2,204.4
Brunei Darussalam,0.3,0.36,0.39,0.42,0.42,0.43,5.8,81.4
Bulgaria,8.36,7.68,7.41,7.2,7.15,7.1,111,65.4
Burkina Faso,10.09,13.42,15.63,17.59,18.11,18.63,273,68.1
Burundi,6.24,7.93,9.46,10.82,11.18,11.55,27.8,449.9
Cabo Verde,0.39,0.47,0.49,0.51,0.52,0.53,4,130.8
Cambodia,10.69,13.32,14.36,15.33,15.58,15.83,181,89.7
"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
Cameroon,13.93,18.13,20.59,22.77,23.34,23.92,475.7,50.6
Canada,29.3,32.26,34.13,35.59,35.94,36.29,9984.7,4
Cayman Islands,0.03,0.05,0.06,0.06,0.06,0.06,0.3,253.2
Central African Rep.,3.34,4.06,4.45,4.8,4.9,5,623,8
Chad,7,10.07,11.9,13.59,14.04,14.5,1284,11.5
Channel Islands 4,0.14,0.15,0.16,0.16,0.16,0.16,0.2,865.6
Chile,14.19,16.1,17.02,17.76,17.95,18.13,756.1,24.4
China 5,1227.84,1305.6,1340.97,1369.44,1376.05,1382.32,9597,147.2
"China, Hong Kong SAR",6.14,6.84,6.99,7.23,7.29,7.35,1.1,6 996.4
"China, Macao SAR",0.4,0.47,0.53,0.58,0.59,0.6,<0.0,19 970.8
Colombia,37.44,43.29,45.92,47.79,48.23,48.65,1141.7,43.9
Comoros,0.48,0.62,0.7,0.77,0.79,0.81,2.2,433.7
Congo,2.72,3.5,4.07,4.51,4.62,4.74,342,13.9
Cook Islands,0.02,0.02,0.02,0.02,0.02,0.02,0.26,87.3
Costa Rica,3.51,4.25,4.55,4.76,4.81,4.86,51.1,95.1
C̫te d'Ivoire,14.4,18.13,20.13,22.16,22.7,23.25,322.5,73.1
Croatia,4.62,4.38,4.32,4.26,4.24,4.23,56.6,75.5
Cuba,10.91,11.26,11.31,11.38,11.39,11.39,109.9,107
Cura̤ao,0.14,0.13,0.15,0.16,0.16,0.16,0.4,357.3
Cyprus,0.867,1.037,1.107,1.157,1.177,1.187,9.3,127.37
Czech Republic,10.34,10.23,10.51,10.54,10.54,10.55,78.9,136.6
Dem. P. R. Korea,21.76,23.81,24.5,25.03,25.16,25.28,120.5,210
Dem. Rep. of the Congo,42.18,56.09,65.94,74.88,77.27,79.72,2344.9,35.2
Denmark,5.23,5.42,5.55,5.65,5.67,5.69,42.9,134.1
Djibouti,0.66,0.78,0.83,0.88,0.89,0.9,23.2,38.8
Dominica,0.07,0.07,0.07,0.07,0.07,0.07,0.8,97.4
Dominican Republic,7.89,9.24,9.9,10.41,10.53,10.65,48.2,220.4
Ecuador,11.44,13.74,14.93,15.9,16.14,16.39,257.2,66
Egypt,62.43,74.94,82.04,89.58,91.51,93.38,1002,93.8
El Salvador,5.59,5.95,6.04,6.11,6.13,6.15,21.08,296.6
Equatorial Guinea,0.45,0.63,0.73,0.82,0.85,0.87,28.1,31
Eritrea,3.16,4.19,4.69,5.11,5.23,5.35,117.6,53
Estonia,1.43,1.36,1.33,1.32,1.31,1.31,45.2,30.9
Ethiopia,57.24,76.61,87.56,96.96,99.39,101.85,1104.3,101.9
Falkland Is. (Malvinas),<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,12.2,0.2
Faroe Islands,0.04,0.05,0.05,0.05,0.05,0.05,1.4,34.6
Fiji,0.78,0.82,0.86,0.89,0.89,0.9,18.3,49.1
Finland 9,5.11,5.25,5.37,5.48,5.5,5.52,338.4,18.2
France,58.22,61.24,62.96,64.12,64.4,64.67,551.5,118.1
French Guiana,0.14,0.2,0.23,0.26,0.27,0.28,83.5,3.4
French Polynesia,0.22,0.25,0.27,0.28,0.28,0.29,4,78.1
Gabon,1.09,1.38,1.54,1.69,1.73,1.76,267.7,6.8
Gambia,1.07,1.44,1.69,1.93,1.99,2.06,11.3,203.1
Georgia,5.071,4.481,4.251,4.031,4.001,3.981,69.7,57.31
"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
Germany,81.61,81.25,80.44,80.65,80.69,80.68,357.3,231.5
Ghana,16.76,21.39,24.32,26.79,27.41,28.03,238.5,123.2
Gibraltar,0.03,0.03,0.03,0.03,0.03,0.03,<0.0,3 237.3
Greece,10.64,11.07,11.18,11,10.95,10.92,132,84.7
Greenland,0.06,0.06,0.06,0.06,0.06,0.06,2166.1,0.1
Grenada,0.1,0.1,0.1,0.11,0.11,0.11,0.3,315.7
Guadeloupe,0.4111,0.4511,0.4611,0.4711,0.4711,0.4711,1.7,278.411
Guam,0.15,0.16,0.16,0.17,0.17,0.17,0.5,318.7
Guatemala,10.36,13.18,14.73,16.02,16.34,16.67,108.9,155.6
Guinea,7.86,9.67,11.01,12.28,12.61,12.95,245.9,52.7
Guinea-Bissau,1.18,1.46,1.63,1.8,1.84,1.89,36.1,67.2
Guyana,0.73,0.74,0.75,0.76,0.77,0.77,215,3.9
Haiti,7.82,9.26,10,10.57,10.71,10.85,27.8,393.6
Holy See 12,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.013,1 820.5
Honduras,5.59,6.88,7.5,7.96,8.08,8.19,112.5,73.2
Hungary,10.35,10.1,10.01,9.89,9.86,9.82,93,108.5
Iceland,0.27,0.3,0.32,0.33,0.33,0.33,103,3.3
India,960.88,1144.33,1230.98,1295.29,1311.05,1326.8,3287.3,446.3
Indonesia,196.96,226.25,241.61,254.45,257.56,260.58,1910.9,143.8
Iran (Islamic Rep. of),60.32,70.12,74.25,78.14,79.11,80.04,1628.814,49.1
Iraq,20.22,27.02,30.87,35.27,36.42,37.55,435.1,86.5
Ireland,3.65,4.2,4.62,4.68,4.69,4.71,69.8,68.4
Isle of Man,0.07,0.08,0.08,0.09,0.09,0.09,0.6,155.1
Israel,5.33,6.6,7.42,7.94,8.06,8.19,22.1,378.6
Italy,57.12,58.66,59.59,59.79,59.8,59.8,302.1,203.3
Jamaica,2.49,2.68,2.74,2.78,2.79,2.8,11,258.9
Japan,124.48,126.98,127.32,126.79,126.57,126.32,377.915,346.5
Jordan,4.32,5.33,6.52,7.42,7.59,7.75,89.3,87.3
Kazakhstan,15.93,15.45,16.31,17.37,17.63,17.86,2724.9,6.6
Kenya,27.37,35.35,40.33,44.86,46.05,47.25,592,83
Kiribati,0.08,0.09,0.1,0.11,0.11,0.11,0.716,141.2
Kuwait,1.64,2.26,3.06,3.75,3.89,4.01,17.8,224.9
Kyrgyzstan,4.59,5.12,5.46,5.84,5.94,6.03,199.9,31.5
Lao People's Dem. Rep.,4.86,5.75,6.26,6.69,6.8,6.92,236.8,30
Latvia,2.49,2.23,2.09,1.99,1.97,1.96,64.6,31.4
Lebanon,3.03,3.99,4.34,5.61,5.85,5.99,10.5,585.4
Lesotho,1.75,1.93,2.01,2.11,2.14,2.16,30.4,71.2
Liberia,2.08,3.27,3.96,4.4,4.5,4.62,111.4,47.9
Libya,4.88,5.8,6.27,6.26,6.28,6.33,1676.2,3.6
Liechtenstein,0.03,0.03,0.04,0.04,0.04,0.04,0.2,236.1
Lithuania,3.63,3.34,3.12,2.92,2.88,2.85,65.3,45.5
Luxembourg,0.41,0.46,0.51,0.56,0.57,0.58,2.6,222.5
Madagascar,13.45,18.29,21.08,23.57,24.24,24.92,587.3,42.8
Malawi,9.82,12.75,14.77,16.7,17.22,17.75,118.5,188.3
"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
Malaysia,20.7317,25.8017,28.1217,29.9017,30.3317,30.7517,330.4,93.617
Maldives,0.25,0.31,0.33,0.36,0.36,0.37,0.3,1 232.7
Mali,9.64,12.88,15.17,17.09,17.6,18.13,1240.2,14.9
Malta,0.37,0.4,0.41,0.42,0.42,0.42,0.3,1 311.3
Marshall Islands,0.05,0.05,0.05,0.05,0.05,0.05,0.2,294.8
Martinique,0.37,0.4,0.39,0.4,0.4,0.4,1.1,373.9
Mauritania,2.33,3.15,3.59,3.97,4.07,4.17,1030.7,4
Mauritius,1.1318,1.2218,1.2518,1.2718,1.2718,1.2818,2.019,629.318
Mayotte,0.12,0.18,0.21,0.23,0.24,0.25,...,657.3
Mexico,94.43,109.75,118.62,125.39,127.02,128.63,1964.4,66.2
Micronesia (Fed. States of),0.11,0.11,0.1,0.1,0.1,0.11,0.7,150
Monaco,0.03,0.03,0.04,0.04,0.04,0.04,<0.0,25 411.4
Mongolia,2.3,2.53,2.71,2.91,2.96,3.01,1564.1,1.9
Montenegro,0.62,0.62,0.62,0.63,0.63,0.63,13.8,46.6
Montserrat,0.01,<0.00,0.01,0.01,0.01,0.01,0.1,51.5
Morocco,27.16,30.39,32.11,33.92,34.38,34.82,446.6,78
Mozambique,15.91,21.13,24.32,27.22,27.98,28.75,799.4,36.6
Myanmar,44.71,49.98,51.73,53.44,53.9,54.36,676.6,83.2
Namibia,1.65,2.03,2.19,2.4,2.46,2.51,824.3,3.1
Nauru,0.01,0.01,0.01,0.01,0.01,0.01,<0.0,513.2
Nepal,21.39,25.51,26.88,28.17,28.51,28.85,147.2,201.3
Netherlands,15.45,16.33,16.63,16.87,16.92,16.98,37.4,503.6
New Caledonia,0.19,0.23,0.25,0.26,0.26,0.27,18.6,14.6
New Zealand,3.67,4.13,4.37,4.5,4.53,4.57,268.1,17.3
Nicaragua,4.61,5.38,5.74,6.01,6.08,6.15,130.4,51.1
Niger,9.36,13.49,16.29,19.11,19.9,20.72,1267,16.4
Nigeria,108.42,139.61,159.42,177.48,182.2,186.99,923.8,205.3
Niue,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,0.3,6.2
Northern Mariana Islands,0.06,0.06,0.05,0.05,0.06,0.06,0.5,120.4
Norway 20,4.36,4.62,4.89,5.15,5.21,5.27,386.2,14.4
Oman,2.19,2.51,2.94,4.24,4.49,4.65,309.5,15
Other non-specified areas,21.16,22.7,23.2,23.36,23.38,23.4,...,660.7
Pakistan,122.6,153.36,170.04,185.04,188.92,192.83,796.1,250.1
Palau,0.02,0.02,0.02,0.02,0.02,0.02,0.5,46.7
Panama,2.74,3.32,3.62,3.87,3.93,3.99,75.3,53.7
Papua New Guinea,4.72,6.09,6.85,7.46,7.62,7.78,462.8,17.2
Paraguay,4.76,5.8,6.21,6.55,6.64,6.73,406.8,16.9
Peru,24.04,27.61,29.37,30.97,31.38,31.77,1285.2,24.8
Philippines,69.84,86.14,93.04,99.14,100.7,102.25,300,342.9
Poland,38.59,38.46,38.57,38.62,38.61,38.59,311.9,126
Portugal,10.08,10.48,10.58,10.4,10.35,10.3,92.2,112.5
Puerto Rico,3.69,3.76,3.71,3.69,3.68,3.68,8.9,415
Qatar,0.5,0.84,1.77,2.17,2.24,2.29,11.6,197.4
Republic of Korea,44.65,47.61,49.09,50.07,50.29,50.5,100.3,519.4
"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
Republic of Moldova,4.3421,4.1621,4.0821,4.0721,4.0721,4.0621,33.8,123.721
R̩union,0.67,0.79,0.83,0.86,0.86,0.87,2.5,346.9
Romania,22.97,21.41,20.3,19.65,19.51,19.37,238.4,84.2
Russian Federation,148.29,143.62,143.16,143.43,143.46,143.44,17098.2,8.8
Rwanda,5.91,9.01,10.29,11.34,11.61,11.88,26.3,481.7
Saint Helena 22,0.01,<0.00,<0.00,<0.00,<0.00,<0.00,0.3,10.1
Saint Kitts and Nevis,0.04,0.05,0.05,0.05,0.06,0.06,0.3,216.1
Saint Lucia,0.15,0.17,0.18,0.18,0.19,0.19,0.523,305.5
Saint Pierre and Miquelon,0.01,0.01,0.01,0.01,0.01,0.01,0.2,27.4
Saint Vincent-Grenadines,0.11,0.11,0.11,0.11,0.11,0.11,0.4,281.1
Samoa,0.17,0.18,0.19,0.19,0.19,0.19,2.8,68.7
San Marino,0.03,0.03,0.03,0.03,0.03,0.03,0.1,532.5
Sao Tome and Principe,0.13,0.15,0.17,0.19,0.19,0.19,1,202.5
Saudi Arabia,18.85,24.75,28.09,30.89,31.54,32.16,2206.7,15
Senegal,8.71,11.27,12.96,14.67,15.13,15.59,196.724,81
Serbia,9.8825,9.1925,9.0625,8.8925,8.8525,8.8125,88.4,100.825
Seychelles,0.08,0.09,0.09,0.1,0.1,0.1,0.5,210.9
Sierra Leone,3.84,5.07,5.78,6.32,6.45,6.59,72.3,91.3
Singapore,3.48,4.5,5.08,5.51,5.6,5.7,0.726,8 137.9
Sint Maarten (Dutch part),0.03,0.03,0.03,0.04,0.04,0.04,<0.0,1 162.9
Slovakia,5.36,5.39,5.41,5.42,5.43,5.43,49.027,112.9
Slovenia,1.99,2,2.05,2.07,2.07,2.07,20.3,102.7
Solomon Islands,0.36,0.47,0.53,0.57,0.58,0.59,28.9,21.3
Somalia,6.35,8.47,9.58,10.52,10.79,11.08,637.7,17.7
South Africa,41.43,48.35,51.62,53.97,54.49,54.98,1221,45.3
South Sudan,5.45,8.1,10.06,11.91,12.34,12.73,658.8,20.8
Spain,39.7628,43.8528,46.6028,46.2628,46.1228,46.0628,506,92.428
Sri Lanka,18.25,19.53,20.2,20.62,20.72,20.81,65.6,331.9
State of Palestine,2.6229,3.5829,4.0729,4.5429,4.6729,4.8029,6,796.929
Sudan,24.69,31.99,36.11,39.35,40.23,41.18,...,23.3
Suriname,0.45,0.49,0.52,0.54,0.54,0.55,163.8,3.5
Swaziland,0.96,1.1,1.19,1.27,1.29,1.3,17.4,75.8
Sweden,8.83,9.03,9.38,9.7,9.78,9.85,450.3,24
Switzerland,7.02,7.41,7.83,8.21,8.3,8.38,41.3,212.1
Syrian Arab Republic,14.33,18.13,20.72,18.77,18.5,18.56,185.2,101.1
Tajikistan,5.78,6.81,7.58,8.3,8.48,8.67,142.6,61.9
TFYR of Macedonia,1.95,2.04,2.06,2.08,2.08,2.08,25.7,82.5
Thailand,59.27,65.86,66.69,67.73,67.96,68.15,513.1,133.4
Timor-Leste,0.86,0.99,1.06,1.16,1.18,1.21,14.9,81.5
Togo,4.28,5.58,6.39,7.12,7.3,7.5,56.8,137.8
Tokelau,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.0,127.6
Tonga,0.1,0.1,0.1,0.11,0.11,0.11,0.7,148.5
Trinidad and Tobago,1.26,1.3,1.33,1.35,1.36,1.37,5.1,266.1
Tunisia,9.11,10.1,10.64,11.13,11.25,11.38,163.6,73.2
"Region, country or area",1995,2005,2010,2014,2015,2016,2014,2016
Turkey,58.52,67.86,72.31,77.52,78.67,79.62,783.6,103.5
Turkmenistan,4.19,4.75,5.04,5.31,5.37,5.44,488.1,11.6
Turks and Caicos Islands,0.02,0.03,0.03,0.03,0.03,0.03,0.93,36.7
Tuvalu,0.01,0.01,0.01,0.01,0.01,0.01,<0.0,331.4
Uganda,20.41,28.04,33.15,37.78,39.03,40.32,241.6,201.8
Ukraine 31,50.81,46.8,45.65,45,44.82,44.62,603.5,77
United Arab Emirates,2.35,4.48,8.33,9.09,9.16,9.27,83.6,110.8
United Kingdom,57.9,60.21,62.72,64.33,64.72,65.11,242.5,269.1
United Rep. of Tanzania 32,29.9,39.07,45.65,51.82,53.47,55.16,947.3,62.3
United States,266.28,296.14,309.88,319.45,321.77,324.12,9833.5,35.4
United States Virgin Is.,0.11,0.11,0.11,0.11,0.11,0.11,0.3,304
Uruguay,3.22,3.33,3.37,3.42,3.43,3.44,173.6,19.7
Uzbekistan,22.69,25.92,27.74,29.47,29.89,30.3,447.4,71.2
Vanuatu,0.17,0.21,0.24,0.26,0.26,0.27,12.2,22.2
Venezuela (Boliv. Rep. of),22.19,26.77,29,30.69,31.11,31.52,912.1,35.7
Viet Nam,75.2,84.2,88.36,92.42,93.45,94.44,331,304.6
Wallis and Futuna Islands,0.01,0.01,0.01,0.01,0.01,0.01,0.1,93.7
Western Sahara,0.25,0.43,0.51,0.56,0.57,0.58,266.033,2.2
Yemen,15.27,20.5,23.59,26.18,26.83,27.48,528,52
Zambia,9.25,12.04,13.92,15.72,16.21,16.72,752.6,22.5
Zimbabwe,11.68,12.98,13.97,15.25,15.6,15.97,390.8,41.3
